PairedTagName,ATACName,DNAmethName,AllenIdName,all,H3K4me1,H3K9me3,H3K27ac,H3K27me3,ATAC,DNAMeth,HiC
011_L2_IT_ENT_po_Glut,011_L2_IT_ENT-po_Glut,011_L2_IT_ENT-po_Glut,011 L2 IT ENT-po Glut,all-male4623:2142:2481_female6841:5247:1594,H3K4me1-male766:339:427_female1537:1101:436,H3K9me3-male1108:627:481_female1498:1036:462,H3K27ac-male1230:507:723_female1760:1573:187,H3K27me3-male1519:669:850_female2046:1537:509,1,1,1
012_MEA_Slc17a7_Glut,012_MEA_Slc17a7_Glut,012_MEA_Slc17a7_Glut,012 MEA Slc17a7 Glut,all-male3070:1165:1905_female3755:2862:893,H3K4me1-male858:132:726_female820:540:280,H3K9me3-male1355:611:744_female871:599:272,H3K27ac-male307:173:134_female1194:1129:65,H3K27me3-male550:249:301_female870:594:276,1,1,1
013_COAp_Grxcr2_Glut,013_COAp_Grxcr2_Glut,013_COAp_Grxcr2_Glut,013 COAp Grxcr2 Glut,all-male370:162:208_female300:234:66,H3K4me1-male84:18:66_female42:24:18,H3K9me3-male153:71:82_female61:43:18,H3K27ac-male46:30:16_female124:121:3,H3K27me3-male87:43:44_female73:46:27,1,1,1
014_LA_BLA_BMA_PA_Glut,014_LA-BLA-BMA-PA_Glut,014_LA-BLA-BMA-PA_Glut,014 LA-BLA-BMA-PA Glut,all-male11965:5591:6374_female13961:10639:3322,H3K4me1-male2675:506:2169_female2866:1945:921,H3K9me3-male5146:2887:2259_female2994:2030:964,H3K27ac-male1535:853:682_female5158:4767:391,H3K27me3-male2609:1345:1264_female2943:1897:1046,1,1,1
015_ENTmv_PA_COAp_Glut,015_ENTmv-PA-COAp_Glut,015_ENTmv-PA-COAp_Glut,015 ENTmv-PA-COAp Glut,all-male1942:1102:840_female2051:1523:528,H3K4me1-male368:176:192_female521:331:190,H3K9me3-male496:299:197_female515:318:197,H3K27ac-male502:293:209_female376:344:32,H3K27me3-male576:334:242_female639:530:109,1,1,1
016_CA1_ProS_Glut,016_CA1-ProS_Glut,016_CA1-ProS_Glut,016 CA1-ProS Glut,all-male74655:30926:43729_female54160:33693:20467,H3K4me1-male17660:7714:9946_female17900:10864:7036,H3K9me3-male14942:4492:10450_female19344:11650:7694,H3K27ac-male20697:9564:11133_female5511:3616:1895,H3K27me3-male21356:9156:12200_female11405:7563:3842,1,1,1
017_CA3_Glut,017_CA3_Glut,017_CA3_Glut,017 CA3 Glut,all-male32961:14826:18135_female25805:15372:10433,H3K4me1-male7673:4065:3608_female8993:5095:3898,H3K9me3-male6037:2321:3716_female9488:5354:4134,H3K27ac-male9633:4129:5504_female2723:1790:933,H3K27me3-male9618:4311:5307_female4601:3133:1468,1,1,1
019_L2_3_IT_PPP_Glut,019_L2-3_IT_PPP_Glut,019_L2_3_IT_PPP_Glut,019 L2/3 IT PPP Glut,all-male11590:6189:5401_female17161:13295:3866,H3K4me1-male1794:895:899_female4053:2785:1268,H3K9me3-male2793:1691:1102_female4206:2790:1416,H3K27ac-male3089:1543:1546_female3637:3368:269,H3K27me3-male3914:2060:1854_female5265:4352:913,1,1,1
020_L2_3_IT_RSP_Glut,020_L2-3_IT_RSP_Glut,020_L2_3_IT_RSP_Glut,020 L2/3 IT RSP Glut,all-male3297:1694:1603_female875:712:163,H3K4me1-male231:109:122_female143:97:46,H3K9me3-male470:254:216_female83:59:24,H3K27ac-male618:264:354_female215:199:16,H3K27me3-male1978:1067:911_female434:357:77,1,1,1
021_L4_RSP_ACA_Glut,021_L4_RSP-ACA_Glut,021_L4_RSP-ACA_Glut,021 L4 RSP-ACA Glut,all-male1:1:0_female3:3:0,H3K4me1-male0:0:0_female2:2:0,H3K9me3-male0:0:0_female0:0:0,H3K27ac-male0:0:0_female0:0:0,H3K27me3-male1:1:0_female1:1:0,0,0,0
022_L5_ET_CTX_Glut,022_L5_ET_CTX_Glut,022_L5_ET_CTX_Glut,022 L5 ET CTX Glut,all-male9037:4552:4485_female5985:5002:983,H3K4me1-male369:160:209_female673:368:305,H3K9me3-male985:599:386_female292:218:74,H3K27ac-male2055:730:1325_female1545:1461:84,H3K27me3-male5628:3063:2565_female3475:2955:520,1,1,1
023_SUB_ProS_Glut,023_SUB-ProS_Glut,023_SUB-ProS_Glut,023 SUB-ProS Glut,all-male3576:1942:1634_female3864:2745:1119,H3K4me1-male817:333:484_female1288:896:392,H3K9me3-male781:280:501_female1306:931:375,H3K27ac-male1318:812:506_female450:335:115,H3K27me3-male660:517:143_female820:583:237,1,1,1
025_CA2_FC_IG_Glut,025_CA2-FC-IG_Glut,025_CA2-FC-IG_Glut,025 CA2-FC-IG Glut,all-male5753:2323:3430_female4432:2439:1993,H3K4me1-male1342:773:569_female1562:771:791,H3K9me3-male1036:364:672_female1640:793:847,H3K27ac-male1576:550:1026_female524:360:164,H3K27me3-male1799:636:1163_female706:515:191,1,1,1
026_NLOT_Rho_Glut,026_NLOT_Rho_Glut,026_NLOT_Rho_Glut,026 NLOT Rho Glut,all-male1617:697:920_female1786:1339:447,H3K4me1-male348:52:296_female366:240:126,H3K9me3-male654:356:298_female384:264:120,H3K27ac-male257:132:125_female664:607:57,H3K27me3-male358:157:201_female372:228:144,1,1,1
027_L6b_EPd_Glut,027_L6b_EPd_Glut,027_L6b_EPd_Glut,027 L6b EPd Glut,all-male239:95:144_female188:138:50,H3K4me1-male71:14:57_female45:30:15,H3K9me3-male75:33:42_female30:23:7,H3K27ac-male36:20:16_female69:61:8,H3K27me3-male57:28:29_female44:24:20,1,1,1
