129_VMH_Nr5a1_Glut,H3K27ac,Female-shufA
123_DMH_Nkx2_4_Glut,H3K27ac,Female-shufB
086_MPO_ADP_Lhx8_Gaba,H3K27ac,Female-shufB
032_L5_NP_CTX_Glut,H3K4me1,Male-shufB
030_L6_CT_CTX_Glut,H3K4me1,Male-shufB
195_SNr_VTA_Pax5_Npas1_Gaba,H3K9me3,Female-shufA
082_CEA_BST_Ebf1_Pdyn_Gaba,H3K27ac,Male-shufB
156_MB_ant_ve_Dmrta2_Glut,H3K27me3,Female-shufA
038_DG_PIR_Ex_IMN,H3K9me3,Male-shufB
026_NLOT_Rho_Glut,H3K27ac,Male-shufA
083_CEA_BST_Rai14_Pdyn_Crh_Gaba,H3K4me1,Female-shufA
055_STR_Lhx8_Gaba,H3K4me1,Male-shufA
120_MEA_Otp_Foxp2_Glut,H3K27ac,Male-shufA
017_CA3_Glut,H3K9me3,Male-shufA
015_ENTmv_PA_COAp_Glut,H3K4me1,Male-shufA
001_CLA_EPd_CTX_Car3_Glut,H3K27me3,Male-shufA
064_STR_PAL_Chst9_Gaba,H3K27me3,Male-shufB
107_DMH_Hmx2_Gaba,H3K27ac,Male-shufB
027_L6b_EPd_Glut,H3K4me1,Male-shufB
082_CEA_BST_Ebf1_Pdyn_Gaba,H3K9me3,Male-shufB
004_L6_IT_CTX_Glut,H3K27me3,Female-shufB
084_BST_SI_AAA_Six3_Slc22a3_Gaba,H3K9me3,Female-shufA
215_SNc_VTA_RAmb_Foxa1_Dopa,H3K9me3,Male-shufB
059_GPe_SI_Sox6_Cyp26b1_Gaba,H3K27me3,Female-shufB
058_PAL_STR_Gaba_Chol,H3K27ac,Female-shufA
007_L2_3_IT_CTX_Glut,H3K9me3,Male-shufB
037_DG_Glut,H3K4me1,Female-shufA
084_BST_SI_AAA_Six3_Slc22a3_Gaba,H3K27ac,Male-shufA
108_ARH_PVp_Tbx3_Gaba,H3K9me3,Male-shufA
013_COAp_Grxcr2_Glut,H3K27ac,Male-shufB
214_IPN_Otp_Crisp1_Gaba,H3K4me1,Male-shufB
136_PMv_TMv_Pitx2_Glut,H3K4me1,Male-shufA
139_PH_LHA_Foxb1_Glut,H3K27me3,Male-shufA
002_IT_EP_CLA_Glut,H3K4me1,Male-shufA
070_LSX_Prdm12_Slit2_Gaba,H3K27me3,Male-shufB
014_LA_BLA_BMA_PA_Glut,H3K9me3,Male-shufB
066_NDB_SI_ant_Prdm12_Gaba,H3K4me1,Female-shufB
121_MEA_BST_Otp_Zic2_Glut,H3K4me1,Female-shufA
006_L4_5_IT_CTX_Glut,H3K9me3,Male-shufA
195_SNr_VTA_Pax5_Npas1_Gaba,H3K4me1,Female-shufA
056_Sst_Chodl_Gaba,H3K27me3,Male-shufB
063_STR_D1_Sema5a_Gaba,H3K27me3,Male-shufB
108_ARH_PVp_Tbx3_Gaba,H3K9me3,Male-shufB
143_MM_ant_Foxb1_Glut,H3K4me1,Female-shufA
103_PVHd_DMH_Lhx6_Gaba,H3K27ac,Female-shufB
049_Lamp5_Gaba,H3K27ac,Male-shufB
168_SPA_SPFm_SPFp_POL_PIL_PoT_Sp9_Glut,H3K4me1,Male-shufB
151_TH_Prkcd_Grin2c_Glut,H3K4me1,Female-shufA
120_MEA_Otp_Foxp2_Glut,H3K9me3,Female-shufB
138_PH_Pitx2_Glut,H3K27me3,Male-shufA
099_SBPV_PVa_Six6_Satb2_Gaba,H3K4me1,Female-shufB
090_BST_MPN_Six3_Nrgn_Gaba,H3K4me1,Female-shufA
093_RT_ZI_Gnb3_Gaba,H3K4me1,Female-shufB
