names,npeak,ncell,nreads
049_Lamp5_Gaba-H3K27ac-MaleB,82743,374,793648
050_Lamp5_Lhx6_Gaba-H3K27ac-MaleA,172024,604,1925523
050_Lamp5_Lhx6_Gaba-H3K27ac-MaleB,148443,588,1749591
051_Pvalb_chandelier_Gaba-H3K27ac-MaleA,66828,191,636276
051_Pvalb_chandelier_Gaba-H3K27ac-MaleB,41338,183,461280
052_Pvalb_Gaba-H3K27ac-MaleA,149100,910,3113200
052_Pvalb_Gaba-H3K27ac-MaleB,131992,646,1531961
053_Sst_Gaba-H3K27ac-MaleA,280625,1796,5615245
053_Sst_Gaba-H3K27ac-MaleB,164422,1486,3663353
054_STR_Prox1_Lhx6_Gaba-H3K27ac-MaleA,111792,451,1245667
054_STR_Prox1_Lhx6_Gaba-H3K27ac-MaleB,76069,262,690806
055_STR_Lhx8_Gaba-H3K27ac-MaleA,52135,191,487754
055_STR_Lhx8_Gaba-H3K27ac-MaleB,25969,102,271400
056_Sst_Chodl_Gaba-H3K27ac-MaleA,99482,302,889643
056_Sst_Chodl_Gaba-H3K27ac-MaleB,43921,153,448254
057_NDB_SI_MA_STRv_Lhx8_Gaba-H3K27ac-MaleA,58725,190,554483
057_NDB_SI_MA_STRv_Lhx8_Gaba-H3K27ac-MaleB,49623,104,249113
058_PAL_STR_Gaba_Chol-H3K27ac-MaleA,74483,210,688472
058_PAL_STR_Gaba_Chol-H3K27ac-MaleB,51120,140,491632
059_GPe_SI_Sox6_Cyp26b1_Gaba-H3K27ac-MaleA,24221,17,34844
059_GPe_SI_Sox6_Cyp26b1_Gaba-H3K27ac-MaleB,16217,6,19705
060_OT_D3_Folh1_Gaba-H3K27ac-MaleA,43825,174,425279
060_OT_D3_Folh1_Gaba-H3K27ac-MaleB,40261,189,418603
061_STR_D1_Gaba-H3K27ac-MaleA,492522,10968,24055857
061_STR_D1_Gaba-H3K27ac-MaleB,476151,7272,20858804
062_STR_D2_Gaba-H3K27ac-MaleA,425360,9787,20092338
062_STR_D2_Gaba-H3K27ac-MaleB,481511,6219,17245847
063_STR_D1_Sema5a_Gaba-H3K27ac-MaleA,169178,1261,3385015
063_STR_D1_Sema5a_Gaba-H3K27ac-MaleB,129067,928,2725421
064_STR_PAL_Chst9_Gaba-H3K27ac-MaleA,195734,983,2151519
064_STR_PAL_Chst9_Gaba-H3K27ac-MaleB,99978,483,1131208
065_IA_Mgp_Gaba-H3K27ac-MaleA,13184,20,66658
065_IA_Mgp_Gaba-H3K27ac-MaleB,16818,8,22504
066_NDB_SI_ant_Prdm12_Gaba-H3K27ac-MaleA,41473,69,212669
066_NDB_SI_ant_Prdm12_Gaba-H3K27ac-MaleB,17525,38,92467
070_LSX_Prdm12_Slit2_Gaba-H3K27ac-MaleA,1503,1,2061
070_LSX_Prdm12_Slit2_Gaba-H3K27ac-MaleB,0,0,0
073_MEA_BST_Sox6_Gaba-H3K27ac-MaleA,82967,306,968999
073_MEA_BST_Sox6_Gaba-H3K27ac-MaleB,61591,199,573507
074_MEA_BST_Lhx6_Sp9_Gaba-H3K27ac-MaleA,53337,179,505055
074_MEA_BST_Lhx6_Sp9_Gaba-H3K27ac-MaleB,33635,128,342413
075_MEA_BST_Lhx6_Nr2e1_Gaba-H3K27ac-MaleA,35415,58,180057
075_MEA_BST_Lhx6_Nr2e1_Gaba-H3K27ac-MaleB,15389,38,77980
076_MEA_BST_Lhx6_Nfib_Gaba-H3K27ac-MaleA,45826,182,434586
076_MEA_BST_Lhx6_Nfib_Gaba-H3K27ac-MaleB,38233,85,191372
077_CEA_BST_Gal_Avp_Gaba-H3K27ac-MaleA,26174,51,134710
077_CEA_BST_Gal_Avp_Gaba-H3K27ac-MaleB,25938,22,36104
078_SI_MA_ACB_Ebf1_Bnc2_Gaba-H3K27ac-MaleA,14550,19,80615
078_SI_MA_ACB_Ebf1_Bnc2_Gaba-H3K27ac-MaleB,9588,13,50849
079_CEA_BST_Six3_Cyp26b1_Gaba-H3K27ac-MaleA,94381,313,833883
079_CEA_BST_Six3_Cyp26b1_Gaba-H3K27ac-MaleB,36596,164,365014
080_CEA_AAA_BST_Six3_Sp9_Gaba-H3K27ac-MaleA,213834,492,2332443
080_CEA_AAA_BST_Six3_Sp9_Gaba-H3K27ac-MaleB,116514,361,1336944
081_ACB_BST_FS_D1_Gaba-H3K27ac-MaleA,33907,89,359622
081_ACB_BST_FS_D1_Gaba-H3K27ac-MaleB,43413,65,223737
082_CEA_BST_Ebf1_Pdyn_Gaba-H3K27ac-MaleA,88087,246,792628
082_CEA_BST_Ebf1_Pdyn_Gaba-H3K27ac-MaleB,38938,152,392478
083_CEA_BST_Rai14_Pdyn_Crh_Gaba-H3K27ac-MaleA,22888,11,33395
083_CEA_BST_Rai14_Pdyn_Crh_Gaba-H3K27ac-MaleB,17262,9,24288
084_BST_SI_AAA_Six3_Slc22a3_Gaba-H3K27ac-MaleA,9903,24,52301
084_BST_SI_AAA_Six3_Slc22a3_Gaba-H3K27ac-MaleB,21261,15,31512
085_SI_MPO_LPO_Lhx8_Gaba-H3K27ac-MaleA,44848,190,431575
085_SI_MPO_LPO_Lhx8_Gaba-H3K27ac-MaleB,25098,93,262131
086_MPO_ADP_Lhx8_Gaba-H3K27ac-MaleA,91974,392,847167
086_MPO_ADP_Lhx8_Gaba-H3K27ac-MaleB,43498,165,433013
087_MPN_MPO_LPO_Lhx6_Zfhx3_Gaba-H3K27ac-MaleA,33842,141,333800
087_MPN_MPO_LPO_Lhx6_Zfhx3_Gaba-H3K27ac-MaleB,39302,68,202219
088_BST_Tac2_Gaba-H3K27ac-MaleA,13619,26,70483
088_BST_Tac2_Gaba-H3K27ac-MaleB,27974,15,40814
089_PVR_Six3_Sox3_Gaba-H3K27ac-MaleA,32783,90,167948
089_PVR_Six3_Sox3_Gaba-H3K27ac-MaleB,22293,54,117014
090_BST_MPN_Six3_Nrgn_Gaba-H3K27ac-MaleA,46308,197,439680
090_BST_MPN_Six3_Nrgn_Gaba-H3K27ac-MaleB,45759,98,231463
091_ARH_PVi_Six6_Dopa_Gaba-H3K27ac-MaleA,29015,24,42647
091_ARH_PVi_Six6_Dopa_Gaba-H3K27ac-MaleB,14564,9,21472
092_TMv_PMv_Tbx3_Hist_Gaba-H3K27ac-MaleA,28136,18,40265
092_TMv_PMv_Tbx3_Hist_Gaba-H3K27ac-MaleB,8137,5,11442
093_RT_ZI_Gnb3_Gaba-H3K27ac-MaleA,48332,220,488630
093_RT_ZI_Gnb3_Gaba-H3K27ac-MaleB,19678,87,248547
094_SCH_Six6_Cdc14a_Gaba-H3K27ac-MaleA,52395,293,480177
094_SCH_Six6_Cdc14a_Gaba-H3K27ac-MaleB,31813,94,161267
096_PVHd_Gsc_Gaba-H3K27ac-MaleA,25830,62,132187
096_PVHd_Gsc_Gaba-H3K27ac-MaleB,14104,26,71840
097_PVHd_SBPV_Six3_Prox1_Gaba-H3K27ac-MaleA,51925,245,486207
097_PVHd_SBPV_Six3_Prox1_Gaba-H3K27ac-MaleB,30916,72,156432
098_AHN_SBPV_PVHd_Pdrm12_Gaba-H3K27ac-MaleA,105675,582,1227752
098_AHN_SBPV_PVHd_Pdrm12_Gaba-H3K27ac-MaleB,75004,293,709032
099_SBPV_PVa_Six6_Satb2_Gaba-H3K27ac-MaleA,26075,132,269238
099_SBPV_PVa_Six6_Satb2_Gaba-H3K27ac-MaleB,27554,61,142326
100_AHN_Onecut3_Gaba-H3K27ac-MaleA,38539,175,372308
100_AHN_Onecut3_Gaba-H3K27ac-MaleB,41860,82,210776
101_ZI_Pax6_Gaba-H3K27ac-MaleA,136041,783,1575506
101_ZI_Pax6_Gaba-H3K27ac-MaleB,81768,373,967064
102_DMH_LHA_Gsx1_Gaba-H3K27ac-MaleA,43413,205,412815
102_DMH_LHA_Gsx1_Gaba-H3K27ac-MaleB,46734,114,240824
103_PVHd_DMH_Lhx6_Gaba-H3K27ac-MaleA,29657,143,295034
103_PVHd_DMH_Lhx6_Gaba-H3K27ac-MaleB,30329,61,157386
104_TU_ARH_Otp_Six6_Gaba-H3K27ac-MaleA,90829,379,828772
104_TU_ARH_Otp_Six6_Gaba-H3K27ac-MaleB,53138,208,508053
105_TMd_DMH_Foxd2_Gaba-H3K27ac-MaleA,6562,6,8888
105_TMd_DMH_Foxd2_Gaba-H3K27ac-MaleB,2635,2,3138
106_PVpo_VMPO_MPN_Hmx2_Gaba-H3K27ac-MaleA,107760,592,1253355
106_PVpo_VMPO_MPN_Hmx2_Gaba-H3K27ac-MaleB,71042,253,659667
107_DMH_Hmx2_Gaba-H3K27ac-MaleA,145190,631,1665101
107_DMH_Hmx2_Gaba-H3K27ac-MaleB,152779,385,1707684
108_ARH_PVp_Tbx3_Gaba-H3K27ac-MaleA,160178,645,3275521
108_ARH_PVp_Tbx3_Gaba-H3K27ac-MaleB,258064,635,5302501
109_LGv_ZI_Otx2_Gaba-H3K27ac-MaleA,10120,25,52148
109_LGv_ZI_Otx2_Gaba-H3K27ac-MaleB,10127,6,14839
112_GPi_Tbr1_Cngb3_Gaba_Glut-H3K27ac-MaleA,26296,59,134093
112_GPi_Tbr1_Cngb3_Gaba_Glut-H3K27ac-MaleB,13367,33,71700
113_MEA_COA_BMA_Ccdc42_Glut-H3K27ac-MaleA,144331,542,1618365
113_MEA_COA_BMA_Ccdc42_Glut-H3K27ac-MaleB,96974,350,876336
114_COAa_PAA_MEA_Barhl2_Glut-H3K27ac-MaleA,95961,270,855810
114_COAa_PAA_MEA_Barhl2_Glut-H3K27ac-MaleB,68321,235,621467
116_AVPV_MEPO_SFO_Tbr1_Glut-H3K27ac-MaleA,0,0,0
116_AVPV_MEPO_SFO_Tbr1_Glut-H3K27ac-MaleB,0,0,0
1160_Astro_NT_NN_2-H3K27ac-MaleA,235454,5321,7591384
1160_Astro_NT_NN_2-H3K27ac-MaleB,250398,3569,5474120
1161_Astro_TE_NN_1-H3K27ac-MaleA,174164,2004,3762587
1161_Astro_TE_NN_1-H3K27ac-MaleB,170185,2284,3654215
1162_Astro_TE_NN_2-H3K27ac-MaleA,51551,241,467067
1162_Astro_TE_NN_2-H3K27ac-MaleB,33036,200,334051
1163_Astro_TE_NN_3-H3K27ac-MaleA,375862,11275,19345167
1163_Astro_TE_NN_3-H3K27ac-MaleB,364759,9928,14988498
1165_Astro_TE_NN_5-H3K27ac-MaleA,88022,422,791114
1165_Astro_TE_NN_5-H3K27ac-MaleB,36330,201,343551
117_LHA_Barhl2_Glut-H3K27ac-MaleA,59329,248,557525
117_LHA_Barhl2_Glut-H3K27ac-MaleB,31736,105,324347
1173_Tanycyte_NN_2-H3K27ac-MaleA,44308,221,402820
1173_Tanycyte_NN_2-H3K27ac-MaleB,50569,166,254959
1175_Ependymal_NN_1-H3K27ac-MaleA,169523,1891,3324006
1175_Ependymal_NN_1-H3K27ac-MaleB,249463,2948,5221548
1178_CHOR_NN_1-H3K27ac-MaleA,100958,527,1156584
1178_CHOR_NN_1-H3K27ac-MaleB,244102,3142,6725273
1179_OPC_NN_1-H3K27ac-MaleA,294206,5113,11725878
1179_OPC_NN_1-H3K27ac-MaleB,298991,3817,8942378
118_ADP_MPO_Trp73_Glut-H3K27ac-MaleA,32615,73,166978
118_ADP_MPO_Trp73_Glut-H3K27ac-MaleB,21307,29,103052
1180_OPC_NN_2-H3K27ac-MaleA,20702,35,114856
1180_OPC_NN_2-H3K27ac-MaleB,9676,24,56686
1181_COP_NN_1-H3K27ac-MaleA,118925,659,1424784
1181_COP_NN_1-H3K27ac-MaleB,88034,488,1093204
1182_NFOL_NN_2-H3K27ac-MaleA,55125,262,539632
1182_NFOL_NN_2-H3K27ac-MaleB,39366,212,409372
1183_MFOL_NN_3-H3K27ac-MaleA,120803,1153,2514235
1183_MFOL_NN_3-H3K27ac-MaleB,129519,585,1522778
1184_MOL_NN_4-H3K27ac-MaleA,450754,8657,21618163
1184_MOL_NN_4-H3K27ac-MaleB,411694,5318,18997824
1186_ABC_NN_1-H3K27ac-MaleA,47723,366,449214
1186_ABC_NN_1-H3K27ac-MaleB,27130,257,273465
1187_VLMC_NN_1-H3K27ac-MaleA,150064,1172,1762094
1187_VLMC_NN_1-H3K27ac-MaleB,198801,1626,2330074
1188_VLMC_NN_2-H3K27ac-MaleA,31270,140,161305
1188_VLMC_NN_2-H3K27ac-MaleB,30818,220,284203
1189_VLMC_NN_3-H3K27ac-MaleA,25193,31,36660
1189_VLMC_NN_3-H3K27ac-MaleB,17739,60,90260
119_SI_MA_LPO_LHA_Skor1_Glut-H3K27ac-MaleA,63183,213,592979
119_SI_MA_LPO_LHA_Skor1_Glut-H3K27ac-MaleB,40381,144,403790
1191_Peri_NN_1-H3K27ac-MaleA,25388,34,35860
1191_Peri_NN_1-H3K27ac-MaleB,21306,86,107743
1192_SMC_NN_1-H3K27ac-MaleA,5498,8,7272
1192_SMC_NN_1-H3K27ac-MaleB,16017,17,20676
1193_Endo_NN_1-H3K27ac-MaleA,123644,832,1602922
1193_Endo_NN_1-H3K27ac-MaleB,143681,1105,1892899
1194_Microglia_NN_1-H3K27ac-MaleA,68669,543,641106
1194_Microglia_NN_1-H3K27ac-MaleB,63609,381,573523
1195_BAM_NN_1-H3K27ac-MaleA,11191,51,58271
1195_BAM_NN_1-H3K27ac-MaleB,22106,24,32955
120_MEA_Otp_Foxp2_Glut-H3K27ac-MaleA,170755,288,1896666
120_MEA_Otp_Foxp2_Glut-H3K27ac-MaleB,139195,266,1544365
121_MEA_BST_Otp_Zic2_Glut-H3K27ac-MaleA,21260,12,30452
121_MEA_BST_Otp_Zic2_Glut-H3K27ac-MaleB,14309,10,20577
122_LHA_MEA_Otp_Glut-H3K27ac-MaleA,21037,45,108827
122_LHA_MEA_Otp_Glut-H3K27ac-MaleB,24782,16,35862
123_DMH_Nkx2_4_Glut-H3K27ac-MaleA,30873,89,156557
123_DMH_Nkx2_4_Glut-H3K27ac-MaleB,24810,20,36289
124_MPN_MPO_PVpo_Hmx2_Glut-H3K27ac-MaleA,24771,64,126204
124_MPN_MPO_PVpo_Hmx2_Glut-H3K27ac-MaleB,9341,24,50501
125_DMH_Hmx2_Glut-H3K27ac-MaleA,29750,129,294979
125_DMH_Hmx2_Glut-H3K27ac-MaleB,21122,42,109735
126_ARH_PVp_Tbx3_Glut-H3K27ac-MaleA,84464,492,1002940
126_ARH_PVp_Tbx3_Glut-H3K27ac-MaleB,73509,261,685331
127_DMH_LHA_Vgll2_Glut-H3K27ac-MaleA,37476,153,366926
127_DMH_LHA_Vgll2_Glut-H3K27ac-MaleB,29968,62,155241
128_VMH_Fezf1_Glut-H3K27ac-MaleA,30607,123,306051
128_VMH_Fezf1_Glut-H3K27ac-MaleB,40742,65,208784
129_VMH_Nr5a1_Glut-H3K27ac-MaleA,164196,899,1861736
129_VMH_Nr5a1_Glut-H3K27ac-MaleB,99991,455,1133866
130_LHA_Pmch_Glut-H3K27ac-MaleA,29911,62,152479
130_LHA_Pmch_Glut-H3K27ac-MaleB,17644,30,91904
131_LHA_AHN_PVH_Otp_Trh_Glut-H3K27ac-MaleA,74623,302,681646
131_LHA_AHN_PVH_Otp_Trh_Glut-H3K27ac-MaleB,34337,144,343551
132_AHN_RCH_LHA_Otp_Fezf1_Glut-H3K27ac-MaleA,91621,501,1086089
132_AHN_RCH_LHA_Otp_Fezf1_Glut-H3K27ac-MaleB,70443,253,669171
133_PVH_SO_PVa_Otp_Glut-H3K27ac-MaleA,90887,400,827262
133_PVH_SO_PVa_Otp_Glut-H3K27ac-MaleB,62804,210,576698
134_PH_ant_LHA_Otp_Bsx_Glut-H3K27ac-MaleA,50119,225,476872
134_PH_ant_LHA_Otp_Bsx_Glut-H3K27ac-MaleB,29604,112,303306
135_STN_PSTN_Pitx2_Glut-H3K27ac-MaleA,262940,2137,5583346
135_STN_PSTN_Pitx2_Glut-H3K27ac-MaleB,199756,1299,4417658
136_PMv_TMv_Pitx2_Glut-H3K27ac-MaleA,17057,38,89104
136_PMv_TMv_Pitx2_Glut-H3K27ac-MaleB,10694,21,56772
137_PH_an_Pitx2_Glut-H3K27ac-MaleA,9658,29,48967
137_PH_an_Pitx2_Glut-H3K27ac-MaleB,12282,7,17813
138_PH_Pitx2_Glut-H3K27ac-MaleA,11848,8,16712
138_PH_Pitx2_Glut-H3K27ac-MaleB,3254,2,5422
139_PH_LHA_Foxb1_Glut-H3K27ac-MaleA,243497,1640,5266456
139_PH_LHA_Foxb1_Glut-H3K27ac-MaleB,216709,1203,4730073
140_PMd_LHA_Foxb1_Glut-H3K27ac-MaleA,11898,5,17529
140_PMd_LHA_Foxb1_Glut-H3K27ac-MaleB,3449,1,5011
141_PH_SUM_Foxa1_Glut-H3K27ac-MaleA,10379,27,53281
141_PH_SUM_Foxa1_Glut-H3K27ac-MaleB,11122,18,53650
142_HY_Gnrh1_Glut-H3K27ac-MaleA,248727,3794,7867305
142_HY_Gnrh1_Glut-H3K27ac-MaleB,231847,2002,4874453
143_MM_ant_Foxb1_Glut-H3K27ac-MaleA,1193,1,1672
143_MM_ant_Foxb1_Glut-H3K27ac-MaleB,0,0,0
149_PVT_PT_Ntrk1_Glut-H3K27ac-MaleA,13346,35,69711
149_PVT_PT_Ntrk1_Glut-H3K27ac-MaleB,10655,22,58890
151_TH_Prkcd_Grin2c_Glut-H3K27ac-MaleA,27759,63,142309
151_TH_Prkcd_Grin2c_Glut-H3K27ac-MaleB,22568,39,117136
152_RE_Xi_Nox4_Glut-H3K27ac-MaleA,105680,387,933683
152_RE_Xi_Nox4_Glut-H3K27ac-MaleB,85052,187,767927
156_MB_ant_ve_Dmrta2_Glut-H3K27ac-MaleA,171099,1545,4081742
156_MB_ant_ve_Dmrta2_Glut-H3K27ac-MaleB,228918,1233,4973499
159_IF_RL_CLI_PAG_Foxa1_Glut-H3K27ac-MaleA,142109,1055,3189406
159_IF_RL_CLI_PAG_Foxa1_Glut-H3K27ac-MaleB,141204,783,3116063
166_MRN_Pou3f1_C1ql4_Glut-H3K27ac-MaleA,25508,135,310677
166_MRN_Pou3f1_C1ql4_Glut-H3K27ac-MaleB,26890,98,346577
168_SPA_SPFm_SPFp_POL_PIL_PoT_Sp9_Glut-H3K27ac-MaleA,24029,55,137317
168_SPA_SPFm_SPFp_POL_PIL_PoT_Sp9_Glut-H3K27ac-MaleB,22507,47,137753
180_SCiw_Pitx2_Glut-H3K27ac-MaleA,130743,1317,3335693
180_SCiw_Pitx2_Glut-H3K27ac-MaleB,120337,935,2807539
191_PAG_MRN_Rln3_Gaba-H3K27ac-MaleA,21432,7,27948
191_PAG_MRN_Rln3_Gaba-H3K27ac-MaleB,14265,5,18298
195_SNr_VTA_Pax5_Npas1_Gaba-H3K27ac-MaleA,90344,814,2409430
195_SNr_VTA_Pax5_Npas1_Gaba-H3K27ac-MaleB,104044,781,2503342
196_PAG_PPN_Pax5_Sox21_Gaba-H3K27ac-MaleA,62502,124,672987
196_PAG_PPN_Pax5_Sox21_Gaba-H3K27ac-MaleB,62928,145,881614
197_SNr_Six3_Gaba-H3K27ac-MaleA,172758,736,2143392
197_SNr_Six3_Gaba-H3K27ac-MaleB,176527,593,2091432
199_PAG_MRN_RN_Foxa2_Gaba-H3K27ac-MaleA,99698,324,1353743
199_PAG_MRN_RN_Foxa2_Gaba-H3K27ac-MaleB,164803,512,3759381
200_PAG_ND_PCG_Onecut1_Gaba-H3K27ac-MaleA,105960,552,1397312
200_PAG_ND_PCG_Onecut1_Gaba-H3K27ac-MaleB,75156,352,1076089
202_PRT_Tcf7l2_Gaba-H3K27ac-MaleA,166387,809,2024069
202_PRT_Tcf7l2_Gaba-H3K27ac-MaleB,143352,566,1782831
203_LGv_SPFp_SPFm_Nkx2_2_Tcf7l2_Gaba-H3K27ac-MaleA,23016,116,266088
203_LGv_SPFp_SPFm_Nkx2_2_Tcf7l2_Gaba-H3K27ac-MaleB,19262,87,255182
213_SCsg_Gabrr2_Gaba-H3K27ac-MaleA,11540,26,70179
213_SCsg_Gabrr2_Gaba-H3K27ac-MaleB,12251,18,80481
214_IPN_Otp_Crisp1_Gaba-H3K27ac-MaleA,46746,274,816620
214_IPN_Otp_Crisp1_Gaba-H3K27ac-MaleB,103218,351,1308253
215_SNc_VTA_RAmb_Foxa1_Dopa-H3K27ac-MaleA,236514,1318,5138891
215_SNc_VTA_RAmb_Foxa1_Dopa-H3K27ac-MaleB,241560,1101,5042481
216_MB_MY_Tph2_Glut_Sero-H3K27ac-MaleA,20984,115,298345
216_MB_MY_Tph2_Glut_Sero-H3K27ac-MaleB,31389,120,387369
231_IPN_LDT_Vsx2_Nkx6_1_Glut-H3K27ac-MaleA,18658,43,115037
231_IPN_LDT_Vsx2_Nkx6_1_Glut-H3K27ac-MaleB,16570,33,102047
268_CS_PRNr_DR_En1_Sox2_Gaba-H3K27ac-MaleA,31749,73,180844
268_CS_PRNr_DR_En1_Sox2_Gaba-H3K27ac-MaleB,29644,50,171517
001_CLA_EPd_CTX_Car3_Glut-H3K27ac-FemaleA,35122,96,180494
001_CLA_EPd_CTX_Car3_Glut-H3K27ac-FemaleB,13843,9,20787
002_IT_EP_CLA_Glut-H3K27ac-FemaleA,74718,276,657771
002_IT_EP_CLA_Glut-H3K27ac-FemaleB,15848,28,85054
