,Gene,RTS,Priority
189,LMX1A,0.202184146,Y
190,DRGX,0.201348979,Y
191,LOC100505585,0.201123203,Y
192,EVX1,0.20001084,Y
193,CBX8,0.199771142,Y
194,CACNG2,0.199458584,Y
195,EMX2,0.199072817,Y
196,LHX9,0.198814007,Y
197,IRX2,0.198027356,Y
198,LHX4,0.196556193,Y
199,SFRP1,0.196119026,Y
200,TBX4,0.195878233,Y
201,PAX1,0.195662976,Y
202,BLACE,0.195524818,Y
203,CFAP77,0.1955004,Y
204,WNT10A,0.194589872,Y
205,BCL11B,0.194371339,Y
206,LHX3,0.193574665,Y
207,EOMES,0.192714981,Y
208,IRX1,0.192115559,Y
209,FOXE1,0.191520226,Y
210,ISL1,0.191100119,Y
211,VSX2,0.19053382,Y
212,ALOX12B,0.190394424,Y
213,OTX1,0.190393918,Y
214,BARX2,0.189930467,Y
215,CASZ1,0.189302792,Y
216,LOC101927207,0.188392127,Y
217,C1QL2,0.186559276,Y
218,VSX1,0.184401372,Y
219,ASCL1,0.183970948,Y
220,MKNK1-AS1,0.182217549,Y
221,LOC100287944,0.180746906,Y
222,HOXC9,0.179526201,Y
223,RFX4,0.178835567,Y
224,DMRTA2,0.177859547,Y
225,C1QA,0.177401263,Y
226,NR2F2,0.177340288,Y
227,NTN1,0.177270951,Y
228,IGSF21,0.17694008,Y
229,SNCB,0.176935656,Y
230,MCIDAS,0.1763733,Y
231,CRMP1,0.175050617,Y
232,FOXL2NB,0.17454904,Y
233,POU4F3,0.174470082,Y
234,MYOD1,0.173905875,Y
235,MIR6127,0.173558587,Y
236,SSTR5,0.173170255,Y
237,MIR1469,0.172368198,Y
238,TCTE1,0.170566798,Y
239,SLC26A10,0.169559886,Y
240,LINC01726,0.168689091,Y
241,TBX20,0.168451813,Y
242,LINC01397,0.168335959,Y
243,NGFR,0.16796104,Y
244,LINC00917,0.166780886,Y
245,LOC400043,0.165820657,Y
246,BHLHE23,0.165702378,Y
247,CRYBA2,0.165689063,Y
248,VENTX,0.165162828,Y
249,FOXL1,0.16348758,Y
250,LINC00945,0.163467842,Y
251,SATB2,0.163071148,Y
252,LINC01230,0.163064253,Y
253,IGF2BP1,0.1624693,Y
254,TCHH,0.161715711,Y
255,PRDM6,0.161319264,Y
256,DDN,0.161225389,Y
257,DSCAML1,0.160442562,Y
258,FOXD2,0.160023517,Y
259,UNC5A,0.15962596,Y
260,LINC01141,0.159586245,Y
261,GSX2,0.158773254,Y
262,OLIG1,0.158336147,Y
263,OSR2,0.157418155,Y
264,CNTFR,0.157216156,Y
265,NKX1-1,0.156789362,Y
266,HCN4,0.156711761,Y
267,NR5A1,0.156698502,Y
268,SCRT2,0.156565066,Y
269,FEZF1,0.155060725,Y
270,TBX18,0.154663779,Y
271,PTPRN2,0.154450625,Y
272,LOC146513,0.153525497,Y
273,NAV2,0.152317856,Y
274,NTRK1,0.151943823,Y
275,WNT10B,0.151667551,Y
276,FOXD3,0.15143481,Y
