,Gene,RTS,Priority
815,MYT1,0.022276972,Y
816,LINC01053,0.022258456,Y
817,MRGPRE,0.022177597,Y
818,HOXD9,0.022022741,Y
819,GLP1R,0.022013288,Y
820,LOC105369971,0.02201121,Y
821,ADCY5,0.022009496,Y
822,TNFSF8,0.021957291,Y
823,GIMAP5,0.021954342,Y
824,LOC101929748,0.02186886,Y
825,LOC100507384,0.021847579,Y
826,MRGPRG,0.021610468,Y
827,DISP3,0.021604182,Y
828,TARID,0.02149668,Y
829,SLC6A11,0.021495983,Y
830,MIR4456,0.021493523,Y
831,MYT1L,0.021388123,Y
832,CHST8,0.021321206,Y
833,LOC401463,0.021196264,Y
834,L1CAM,0.021091238,Y
835,CIB4,0.021057476,Y
836,PCDHGA9,0.021045558,Y
837,NFIC,0.02099485,Y
838,TCEA2,0.020991717,Y
839,IL9,0.020966619,Y
840,SCD5,0.020952756,Y
841,MFSD4A,0.020907944,Y
842,HES4,0.020852053,Y
843,PRR25,0.020754341,Y
844,IQSEC3,0.020734841,Y
845,TENM4,0.020598988,Y
846,LINC01124,0.020575598,Y
847,ANKRD19P,0.020517967,Y
848,MIR133A2,0.020422957,Y
849,CNTN2,0.020421306,Y
850,LINC00479,0.020234314,Y
851,MIR135B,0.020190979,Y
852,CACNG8,0.020149284,Y
853,PAX8,0.020086429,Y
854,LOC100129175,0.019957085,Y
855,GRIP2,0.019835928,Y
856,HCK,0.019823248,Y
857,LOC100506688,0.019811617,Y
858,AUTS2,0.01976812,Y
859,LINC01082,0.019747336,Y
860,ATP2B2,0.019742268,Y
861,TSPEAR,0.019571201,Y
862,KCNK9,0.019471104,Y
863,PCDHGB6,0.019469898,Y
864,IFITM10,0.019296838,Y
865,CADPS,0.01928457,Y
866,GRAP2,0.019219716,Y
867,EHBP1,0.019101918,Y
868,PSMG3-AS1,0.019083777,Y
869,GPRIN2,0.019006723,Y
870,HOXB3,0.01895114,Y
871,SLC1A2,0.018916744,Y
872,KCNQ1-AS1,0.01870645,Y
873,TNNT2,0.018686389,Y
874,ESPN,0.018634571,Y
875,LINC00620,0.018561699,Y
876,PLCB2,0.018523109,Y
877,EPHB3,0.018517572,Y
878,C19orf81,0.018387004,Y
879,CITED1,0.018267235,Y
880,LHX1,0.018240194,Y
881,LINC01548,0.018231647,Y
882,NPHS1,0.018125645,Y
883,ASIC2,0.018070893,Y
884,IRX3,0.017924429,Y
885,KRT74,0.017895561,Y
886,CEACAM21,0.017872833,Y
887,GJB6,0.017838766,Y
888,LAMP5-AS1,0.017821866,Y
889,TMPRSS6,0.017776916,Y
890,TRIM29,0.017622013,Y
891,PEAR1,0.017509224,Y
892,TMEM174,0.017491939,Y
893,LOC101929696,0.017488632,Y
894,KIRREL2,0.017470847,Y
895,MIR675,0.017436568,Y
896,FIGNL2,0.017430235,Y
897,CLIC6,0.017387619,Y
898,SLC38A8,0.017370967,Y
899,MCF2L,0.017331258,Y
900,SORCS3,0.017209031,Y
901,SLC30A2,0.017160027,Y
902,HOXD3,0.017083182,Y
903,SCN2B,0.017036249,Y
904,CPEB1-AS1,0.016954583,Y
905,SEZ6L,0.016891781,Y
906,BAHCC1,0.016832874,Y
907,PCDH19,0.016817833,Y
908,C1QB,0.016804843,Y
909,CPXM1,0.016775753,Y
910,HOXD12,0.016670802,Y
911,AK8,0.01664571,Y
912,CLYBL,0.016629057,Y
913,LOC101928174,0.016560032,Y
914,CACNA1S,0.01648308,Y
915,KCNA4,0.016396008,Y
916,SV2B,0.016392916,Y
917,CDH23,0.016392842,Y
918,LOC90246,0.016340701,Y
919,UNC13A,0.016283397,Y
920,C14orf39,0.016280655,Y
921,ITGA9,0.016241787,Y
922,CACNA1G,0.016218509,Y
923,ENTPD1-AS1,0.01617573,Y
924,DTX1,0.016010836,Y
925,SLC18A2,0.015949139,Y
926,LINC00466,0.015912789,Y
927,CACNA1H,0.015909942,Y
928,SCN5A,0.015858184,Y
929,DSP,0.015846133,Y
930,RIMS4,0.015835688,Y
931,CPLX2,0.015779648,Y
932,SMARCD3,0.015762161,Y
933,PLAGL1,0.01568191,Y
934,ZMYND15,0.015676731,Y
935,MAST1,0.015654964,Y
936,CACNA2D2,0.015642011,Y
937,LINC00112,0.01561563,Y
938,ALDH1A2,0.015566184,Y
939,HOTS,0.015419524,Y
940,KLK3,0.015380702,Y
941,HES2,0.015346013,Y
942,C20orf85,0.01513755,Y
943,ANKRD60,0.015052344,Y
944,NEURL1,0.01502113,Y
945,TFAP2C,0.014974913,Y
946,ILDR2,0.014941008,Y
947,RPF1,0.014816315,Y
948,IL20RA,0.014792001,Y
949,PPP1R1B,0.014747212,Y
950,GDF7,0.014715957,Y
951,RAP1GAP,0.014688849,Y
952,LOC101929613,0.014681949,Y
953,SERTAD4,0.014655162,Y
954,NHSL2,0.014642842,Y
955,GJD2,0.014620547,Y
956,TUNAR,0.014617228,Y
957,DRD2,0.014610719,Y
958,GRM8,0.014542257,Y
959,GPX5,0.014399548,Y
960,LOC100130370,0.014361419,Y
961,LAMC3,0.014299455,Y
962,WSCD1,0.014285319,Y
963,ACTRT2,0.014284059,Y
964,HOXD13,0.014258848,Y
965,PTCH1,0.014223601,Y
966,TTBK1,0.014197328,Y
967,EML1,0.014183336,Y
968,RAI2,0.014074896,Y
969,LOC400794,0.014061248,Y
970,TBC1D21,0.013968885,Y
971,LOC389332,0.013935466,Y
972,MN1,0.013913897,Y
973,ARHGAP29,0.013883321,Y
974,PDE4A,0.013877105,Y
975,LOC101929237,0.013806791,Y
976,CAMTA1,0.0137891,Y
977,PAMR1,0.013765244,Y
978,SFRP2,0.013751205,Y
979,HOXD-AS2,0.013672096,Y
980,MTHFSD,0.013640213,Y
981,ISL2,0.013580068,Y
982,FOXE3,0.013566307,Y
983,SCUBE3,0.013563192,Y
984,LL22NC03-63E9.3,0.013537054,Y
985,LOC145845,0.013443576,Y
986,LOC102724301,0.013305288,Y
987,FGD5,0.01329729,Y
988,THCAT155,0.013276627,Y
989,LOC152274,0.013193437,Y
990,IQSEC2,0.013183811,Y
991,ALDH1A3,0.012994503,Y
992,ASCL2,0.012933676,Y
993,ALK,0.012913326,Y
