L1_2_3_4,bestld,note
c202,r0.3_seed2,auto
c2020400,r0.5_seed3,r0.1_seed0
c2020401,r0.6_seed3,r0.1_seed0
c203,r0.2_seed7,auto
c204,r0.2_seed0,auto
c205,r0.3_seed2,auto
c206,r0.1_seed0,r0.5_seed6
c207,r0.1_seed1,r0.2_seed1
c208,r0.2_seed0,auto
c209,r1.9_seed5,r0.5_seed3
c210,r0.4_seed3,auto
c211,r0.2_seed3,r0.6_seed3
c3,r0.1_seed0,r0.5_seed6
c3080000,r0.3_seed3,r0.5_seed7
c3080001,r0.3_seed3,auto
c3080002,r0.4_seed1,auto
c3080003,r0.2_seed9,r0.8_seed5
c3080004,r0.4_seed0,r0.1_seed0
c3080005,r0.3_seed8,auto
c3080100,r0.6_seed4,auto
c3080101,r0.4_seed3,auto
c3110000,r0.3_seed2,auto
c3110001,r0.3_seed8,auto
c3110002,r0.3_seed4,auto
c3110003,r0.5_seed1,r0.1_seed0
c3110004,r0.5_seed0,auto
c4,r0.1_seed0,r0.3_seed7;dirty
c400,r0.2_seed4,auto
c4000000,r0.3_seed3,r0.9_seed7
c4000001,r0.2_seed7,r0.6_seed8
c4000002,r0.7_seed3,r0.1_seed0
c4000003,r0.6_seed1,r0.1_seed0
c4000004,r0.7_seed7,r0.1_seed0
c4000005,r0.6_seed6,r0.1_seed0
c4000006,r0.6_seed0,r0.1_seed0
c4000007,r0.7_seed5,r0.1_seed0
c401,r0.2_seed7,r0.7_seed8
c4010000,r0.4_seed0,auto
c4010001,r0.6_seed6,auto
c4010002,r0.6_seed4,r0.1_seed0
c4010003,r0.7_seed1,r0.1_seed0
c4010004,r0.7_seed5,r0.1_seed0
c4010005,r1.3_seed7,r0.1_seed0
c4010006,r1.8_seed7,r0.1_seed0
c4010007,r1.3_seed6,r0.1_seed0
c4010008,r1.0_seed0,r0.1_seed0
c4010009,r1.5_seed2,r0.1_seed0
c402,r0.6_seed3,auto
c403,r0.1_seed1,r0.6_seed9
c4030000,r0.4_seed3,r0.1_seed0
c4030001,r0.5_seed9,auto
c4030002,r1.1_seed7,r0.1_seed0
c4030003,r0.7_seed9,r0.1_seed0
c4030004,r1.2_seed8,r0.1_seed0
c404,r0.3_seed6,auto
c4040000,r0.7_seed8,r0.1_seed0
c4040001,r0.6_seed2,r0.1_seed0
c4040002,r0.6_seed4,r0.1_seed0
c4040003,r0.4_seed5,r0.1_seed0
c4040004,r0.9_seed9,r0.1_seed0
c4040005,r1.0_seed2,r0.1_seed0
c4040006,r1.1_seed3,r0.1_seed0
c405,r0.4_seed3,auto
c4050000,r0.8_seed2,r0.1_seed0
c4050001,r0.6_seed6,auto
c4050002,r0.6_seed6,auto
c4050003,r0.3_seed2,auto
c4050004,r0.6_seed6,r0.1_seed0
c4050005,r0.4_seed0,auto
c4050006,r1.2_seed6,r0.1_seed0
c4050007,r0.6_seed5,r0.1_seed0
c4050008,r0.8_seed8,auto
c4050009,r1.2_seed0,r0.1_seed0;dirty
c4050010,r0.8_seed4,r0.1_seed0
c4050011,r0.7_seed8,r0.1_seed0
c4050012,r1.1_seed2,r0.1_seed0
c4050013,r0.8_seed1,r0.1_seed0
c4050100,r0.5_seed7,r0.1_seed0
c4050101,r0.6_seed2,r0.1_seed0
c406,r0.2_seed4,r0.5_seed4
c407,r0.1_seed0,r0.2_seed1
c408,r0.1_seed0,auto
c409,r0.3_seed0,auto;dirty
c410,r0.5_seed6,auto
c411,r0.3_seed8,auto
c412,r0.1_seed1,auto
c413,r0.4_seed5,auto
c414,r0.4_seed5,auto
