L1_2_3,bestld,note
c140200,r0.6_seed1,r0.4_seed5;noL5
c140201,r0.6_seed3,r0.2_seed7;noL5
c140202,r0.3_seed1,auto;noL5
c140203,r0.8_seed4,auto;noL5;dirty
c140300,r0.6_seed0,r0.4_seed4;noL5
c140301,r0.4_seed8,auto;noL5
c140500,r0.1_seed0,r0.6_seed5;noL5
c140501,r0.6_seed7,auto;noL5;dirty
c141000,r0.5_seed2,auto;noL5
c141001,r0.1_seed0,r1.2_seed2;noL5
c142100,r0.1_seed0,r1.2_seed3;noL5
c15,r0.4_seed8,r0.1_seed8;noL5
c150000,r0.6_seed6,r0.5_seed3;noL5
c150001,r0.4_seed0,auto;noL5
c150002,r0.1_seed0,r0.7_seed1;noL5
c150003,r0.1_seed0,r0.4_seed9;noL5
c150004,r0.1_seed0,r1.3_seed0;noL5
c150005,r0.1_seed0,r1.2_seed5;noL5
c150100,r0.5_seed6,auto;noL5
c150101,r0.4_seed0,auto;noL5
c150102,r0.1_seed0,r0.9_seed1;noL5;dirty
c150200,r0.6_seed8,r0.3_seed1;noL5
c150201,r0.2_seed0,r0.7_seed2;noL5
c150300,r0.2_seed0,auto;noL5
c150301,r0.1_seed0,r0.7_seed2;noL5
c151100,r0.1_seed0,r0.6_seed0;noL5
c16,r0.8_seed7,r0.1_seed2;noL5
c160000,r0.4_seed0,auto;noL5
c160001,r0.3_seed7,auto;noL5
c160002,r0.4_seed8,auto;noL5
c160003,r0.6_seed0,auto;noL5
c160004,r0.5_seed1,r0.2_seed0;noL5
c160005,r0.5_seed7,r0.2_seed5;noL5
c160006,r0.6_seed6,auto;noL5
c160007,r0.4_seed1,auto;noL5
c160008,r0.1_seed0,r0.4_seed2;noL5
c160009,r0.4_seed5,auto;noL5
c160010,r0.4_seed8,auto;noL5
c160011,r0.3_seed8,auto;noL5
c160012,r0.4_seed4,auto;noL5
c160013,r0.4_seed2,auto;noL5
c160014,r0.1_seed0,r1.8_seed1;noL5
c160100,r0.3_seed0,auto;dirty
c160101,r0.4_seed1,r0.2_seed4;noL5
c160102,r0.1_seed4,auto;noL5
c17,r0.7_seed4,auto;noL5
c18,r0.6_seed5,r0.1_seed0;noL5
c19,r0.3_seed2,auto;noL5;dirty
c2,r0.5_seed6,r0.1_seed4
c200,r0.8_seed5,auto;noL5
c20000,r0.7_seed8,r0.1_seed0;noL5
c20001,r0.6_seed7,r0.3_seed6;noL5
c20002,r0.6_seed0,r0.1_seed0;noL5
c20003,r0.7_seed1,r0.2_seed1;noL5
c20004,r0.8_seed8,r0.1_seed4;noL5
c20005,r0.4_seed4,auto
c20006,r0.4_seed1,auto
c20007,r0.8_seed3,r0.2_seed5;noL5
c20008,r0.6_seed1,r0.2_seed8;noL5
c20009,r0.9_seed8,r0.3_seed6;noL5
c20010,r0.3_seed1,r0.1_seed6;noL5
c20011,r0.7_seed8,r0.3_seed9;noL5
c20012,r0.7_seed1,r0.3_seed3;noL5
c201,r0.4_seed8,auto;noL5
c20100,r0.8_seed8,r0.2_seed9;noL5
c20101,r0.9_seed2,r0.2_seed5;noL5
c20102,r0.6_seed0,r0.2_seed9;noL5
c20103,r0.5_seed9,r0.2_seed6
c20104,r0.4_seed1,r0.3_seed6;noL5
c20105,r0.5_seed8,r0.3_seed4;noL5
c20106,r0.5_seed1,r0.3_seed0;noL5
c20107,r0.3_seed5,auto;noL5
c20108,r0.1_seed0,r1.4_seed5;noL5
c202,r0.1_seed0,r0.6_seed7;noL5
c20200,r0.7_seed0,r0.1_seed0;noL5
c20201,r0.5_seed4,r0.2_seed9;noL5
c20202,r0.8_seed4,r0.3_seed2;noL5
c20203,r0.6_seed1,r0.2_seed7;noL5
c20204,r0.4_seed8,auto
c20205,r0.2_seed3,auto;noL5
c20206,r0.5_seed1,r0.3_seed6;noL5
c20207,r0.7_seed0,r0.4_seed1;noL5
c20208,r0.5_seed2,r0.3_seed0;noL5
c20209,r0.5_seed9,auto;noL5
c20210,r0.5_seed0,r0.2_seed6;noL5
c20211,r0.4_seed9,r0.3_seed9;noL5
c20212,r0.5_seed4,r0.4_seed7;noL5
c20213,r0.1_seed0,r0.7_seed6;noL5
c20214,r0.5_seed7,auto;noL5;dirty
c20215,r0.2_seed0,auto;noL5
c20216,r0.4_seed2,r0.2_seed0;noL5
c20217,r0.6_seed7,auto;noL5
c20300,r0.1_seed0,auto;noL5;dirty
c20301,r0.1_seed0,auto;noL5
c20302,r0.1_seed0,r0.7_seed0;noL5
c20303,r0.1_seed0,r0.7_seed7;noL5
c20304,r0.1_seed0,r0.6_seed2;noL5
c20305,r0.1_seed0,r0.6_seed5;noL5
c20306,r0.1_seed0,r0.5_seed7;noL5
c20307,r0.1_seed0,r0.7_seed8;noL5
c20308,r0.1_seed0,r0.7_seed3;noL5
c20309,r0.1_seed0,r0.7_seed6;noL5
c20310,r0.1_seed0,r0.7_seed7;noL5
c20311,r0.3_seed0,auto;noL5
c20312,r0.1_seed0,r0.7_seed3;noL5
c20313,r0.5_seed6,auto;noL5
