L1_2,bestld,note
c801,r1.7_seed1,auto
c802,r1.6_seed9,auto
c803,r0.4_seed0,auto
c804,r0.4_seed4,r0.2_seed0
c805,r0.4_seed0,auto
c806,r0.3_seed2,auto
c807,r0.7_seed0,r0.1_seed4
c900,r0.2_seed1,auto
c901,r0.4_seed0,r0.2_seed3
c902,r0.4_seed1,r0.2_seed9
c903,r1.0_seed6,auto
c904,r0.5_seed4,auto
c905,r0.2_seed8,auto
c906,r0.3_seed7,auto
c907,r0.6_seed7,r0.2_seed8
c908,r0.5_seed9,auto
c909,r0.4_seed6,r0.2_seed8
c910,r0.4_seed9,auto
