L1_2_3,bestld,note
c41106,r1.5_seed6,r0.1_seed0;noL5
c41107,r0.5_seed1,auto;noL5
c41200,r0.6_seed1,r0.7_seed5;noL5
c41201,r0.7_seed9,r0.1_seed0;noL5
c41202,r0.7_seed3,r0.1_seed0;noL5
c41203,r0.8_seed5,r0.1_seed0;noL5
c41204,r0.5_seed8,r0.1_seed0;noL5
c41205,r1.0_seed2,r0.1_seed0;noL5
c41206,r1.1_seed9,r0.1_seed0;noL5
c41207,r1.2_seed0,r0.1_seed0;noL5
c41208,r1.3_seed9,r0.1_seed0;noL5
c41209,r1.4_seed6,r0.1_seed0;noL5
c41300,r0.3_seed7,r0.8_seed8;noL5
c41301,r0.5_seed4,auto;noL5
c41302,r1.1_seed7,r1.0_seed4;noL5
c41400,r0.5_seed3,r0.7_seed1;noL5
c41401,r0.7_seed3,r0.1_seed0;noL5
c41402,r0.8_seed0,r0.1_seed0;noL5
c41403,r1.6_seed2,r0.1_seed0;noL5
c41404,r1.7_seed6,r0.1_seed0;noL5
c41405,r1.3_seed3,r0.1_seed0;noL5
c41406,r1.4_seed0,r0.1_seed0;noL5
c41407,r1.1_seed1,r0.1_seed0;noL5
c41408,r1.3_seed6,r0.1_seed0;noL5
c41409,r1.2_seed9,r0.1_seed0;noL5
c41410,r1.2_seed8,r0.1_seed0;noL5
c41411,r1.3_seed6,r0.1_seed0;noL5
c41412,r0.7_seed3,r0.1_seed0;noL5;dirty
c41413,r1.1_seed8,r0.1_seed0;noL5
c41500,r1.0_seed3,auto;noL5
c41501,r1.1_seed6,r0.1_seed0;noL5
c41502,r1.3_seed4,r0.1_seed0;noL5
c41503,r0.7_seed1,r0.1_seed0;noL5
c41504,r1.2_seed2,r0.1_seed0;noL5
c41505,r1.0_seed9,r0.1_seed0;noL5
c41600,r0.5_seed2,r0.6_seed1;noL5
c41601,r0.6_seed9,r0.1_seed0;noL5
c41602,r1.4_seed2,r0.1_seed0;noL5
c41603,r1.4_seed5,r0.1_seed0;noL5
c41604,r1.4_seed0,r0.1_seed0;noL5
c41605,r1.2_seed7,r0.1_seed0;noL5
c41606,r1.4_seed9,r0.1_seed0;noL5
c41607,r1.0_seed0,r0.1_seed0;noL5
c41608,r1.1_seed5,r0.1_seed0;noL5
c41609,r1.1_seed7,r0.1_seed0;noL5
c41700,r0.5_seed5,r0.6_seed5;noL5
c41701,r0.5_seed8,r0.6_seed7;noL5
c5,r0.1_seed6,r0.3_seed2
c500,r0.7_seed0,auto;noL5
c50000,r0.2_seed3,r0.7_seed9
c50001,r1.2_seed6,auto;noL5
c50002,r0.1_seed9,r0.6_seed2
c50003,r1.2_seed4,auto
c50004,r0.4_seed6,r0.8_seed9;noL5
c50005,r0.4_seed2,r0.5_seed4
c50006,r0.3_seed9,auto
c50007,r0.3_seed3,r0.4_seed4;noL5
c50008,r0.5_seed3,auto;noL5
c50009,r0.5_seed0,auto;noL5
c50010,r0.5_seed5,auto;noL5
c50011,r0.4_seed2,auto;noL5
c50012,r0.3_seed6,auto;noL5
c50013,r0.5_seed3,auto;noL5
c50014,r0.5_seed3,auto;noL5
c50015,r0.5_seed3,auto;noL5
c50016,r0.1_seed3,auto;noL5
c50017,r0.1_seed1,r0.8_seed9;noL5
c50018,r0.5_seed3,r0.1_seed0;noL5
c50019,r0.5_seed9,r0.1_seed0;noL5
c50020,r0.3_seed0,auto;noL5
c50021,r0.5_seed2,r0.1_seed0;noL5
c501,r0.4_seed1,r0.1_seed0;noL5
c50100,r0.8_seed7,auto;noL5
c50101,r0.6_seed0,r0.1_seed0;noL5
c502,r0.2_seed0,auto;noL5
c50200,r1.2_seed1,auto;noL5
c50201,r0.1_seed3,r0.7_seed2;noL5
c50202,r1.4_seed5,auto;noL5
c50203,r0.3_seed3,auto;noL5
c50204,r0.7_seed2,auto;noL5
c50300,r0.4_seed1,r0.1_seed0;noL5
c50301,r0.4_seed5,r0.6_seed1
c50302,r0.3_seed7,auto;noL5
c50303,r0.7_seed6,r0.1_seed0;noL5
c50304,r0.4_seed7,auto;noL5
c50305,r0.6_seed2,auto;noL5
c50306,r0.6_seed8,r0.1_seed0;noL5
c50307,r0.7_seed7,r0.1_seed0;noL5
c50308,r0.6_seed8,r0.1_seed0;noL5
c50309,r0.5_seed6,r0.1_seed0;noL5
c50310,r0.6_seed7,r0.1_seed0;noL5
c50311,r0.6_seed8,r0.1_seed0;noL5
c50312,r0.7_seed7,r0.1_seed0;noL5
c50313,r0.5_seed8,auto;noL5
